jn_code,jn_routes,jn_traffic,jn_delay
BLM,4,44,88.2481144182
BJU,4,186,126.982446919
BTE,4,107,90.5173187948
BINA,4,157,66.4751090191
BNDM,4,26,19.7239876028
CD,4,82,78.1684959353
DHD,4,90,34.1507763713
DD,4,133,29.0918842945
DMM,4,90,32.3733889947
DUI,4,68,39.8524899403
DIVA,4,470,14.8167216641
FD,4,82,128.169875512
GIMB,4,38,42.9819979862
GAYA,4,165,110.069901144
GCT,4,55,173.170530554
GDA,4,84,30.3887788887
GMO,4,84,115.366984922
G,4,150,26.9061690433
GY,4,84,20.9699515452
GNT,4,104,20.3219520277
HMH,4,24,18.8211142774
HPU,4,86,103.432552121
HAS,4,26,12.1064801135
HTC,4,30,43.611262814
HSR,4,50,23.067778527
IAA,4,42,66.6863904121
ET,4,299,68.4990884743
ITR,4,27,7.61733182305
JHL,4,59,52.3952372611
JPG,4,12,12.2646449271
JNH,4,54,107.847918058
JLR,4,29,9.05378933298
JHS,4,267,94.1514359379
KJT,4,159,15.8117736783
KRR,4,70,16.0487730552
KTE,4,169,71.6843731108
KWAE,4,93,11.6825012217
KGP,4,311,28.9542160305
KIUL,4,174,106.886263356
KOTA,4,187,46.961488408
KWV,4,68,20.378111346
CLA,4,1204,7.28038548753
LKU,4,46,25.2827614659
MDU,4,109,15.5371674266
MKC,4,64,41.9268556825
MNM,4,36,8.56808647385
MMR,4,211,49.509713224
MNE,4,69,89.6164501769
MJ,4,98,29.7254510441
MVJ,4,36,47.1822425176
MRJ,4,85,16.8523272523
MYG,4,32,15.9767855182
MURI,4,92,66.5289152309
MZR,4,42,13.7765389854
MFP,4,147,158.07804661
ND,4,176,26.4590802239
NKE,4,48,145.913958183
PNP,4,119,56.6149999267
PNVL,4,407,33.7215341875
PFM,4,45,90.2008820359
FL,4,108,37.9040104828
PBE,4,38,6.97750854629
PTJ,4,40,11.9684913617
R,4,188,33.9018124652
RHA,4,208,5.10044715227
RNC,4,90,49.6768252281
RTM,4,182,41.9795054322
RU,4,170,28.8199939854
SRE,4,158,127.932946955
SPJ,4,173,119.89278538
SPN,4,119,147.366049184
SRR,4,143,29.6260086917
SLN,4,70,139.293548289
TEL,4,140,23.8399703618
TEN,4,86,12.6582397654
UJN,4,125,33.0836611984
VG,4,115,41.5893817629
VPT,4,80,13.4447849771
VRI,4,73,13.5299011823
ZBD,4,38,99.848943874
BE,5,193,138.685483417
BOE,5,102,70.3362865051
DG,5,95,16.0863316723
GTL,5,124,23.0230283596
GWL,5,170,79.4113772112
JRC,5,144,103.372155899
KIR,5,138,131.246097959
KTE,5,169,71.6843731108
AMS,5,28,91.6292844818
LDH,5,237,101.164178344
MB,5,256,131.146909277
PNBE,5,249,118.32758627
ROK,5,103,37.9511921749
STP,5,6,25.7533070273
TPJ,5,147,10.7566301081
BCY,5,50,109.193834394
BZA,5,407,36.3927445893
BTIC,6,12,18.7389981272
NCB,6,114,99.1671799411
RE,6,134,32.6273643096
SA,6,199,31.6830975797
MTJ,7,226,63.5795034298
